column_name,description,values
word_6_low,"participants' naming response to the color naming test item ""honeydew""",
ppvt_color1_high,color word comprehension test item (high nameability): purple,"1=correct, 0=incorrect"
ppvt_color2_high,color word comprehension test item (high nameability): orange,"1=correct, 0=incorrect"
ppvt_color3_high,color word comprehension test item (high nameability): yellow,"1=correct, 0=incorrect"
ppvt_color4_high,color word comprehension test item (high nameability): brown,"1=correct, 0=incorrect"
ppvt_color5_high,color word comprehension test item (high nameability): blue,"1=correct, 0=incorrect"
ppvt_color6_high,color word comprehension test item (high nameability): red,"1=correct, 0=incorrect"
ppvt_color1_low,color word comprehension test item (low nameability): mauve,"1=correct, 0=incorrect"
ppvt_color2_low,color word comprehension test item (low nameability): chartreuse,"1=correct, 0=incorrect"
ppvt_color3_low,color word comprehension test item (low nameability): sienna,"1=correct, 0=incorrect"
ppvt_color4_low,color word comprehension test item (low nameability): teal,"1=correct, 0=incorrect"
ppvt_color5_low,color word comprehension test item (low nameability): turquoise,"1=correct, 0=incorrect"
ppvt_color6_low,color word comprehension test item (low nameability): honeydew,"1=correct, 0=incorrect"
ppvt_1,short vocabulary measure/ PPVT item: cookie,"1=correct, 0=incorrect"
ppvt_2,short vocabulary measure/ PPVT item: belt,"1=correct, 0=incorrect"
ppvt_3,short vocabulary measure/ PPVT item: fence,"1=correct, 0=incorrect"
ppvt_4,short vocabulary measure/ PPVT item: farm,"1=correct, 0=incorrect"
ppvt_5,short vocabulary measure/ PPVT item: calendar,"1=correct, 0=incorrect"
ppvt_6,short vocabulary measure/ PPVT item: dentist,"1=correct, 0=incorrect"
ppvt_7,short vocabulary measure/ PPVT item: axe,"1=correct, 0=incorrect"
ppvt_8,short vocabulary measure/ PPVT item: timer,"1=correct, 0=incorrect"
ppvt_9,short vocabulary measure/ PPVT item: athlete,"1=correct, 0=incorrect"
ppvt_10,short vocabulary measure/ PPVT item: hydrant,"1=correct, 0=incorrect"
ppvt_11,short vocabulary measure/ PPVT item: tusk,"1=correct, 0=incorrect"
ppvt_12,short vocabulary measure/ PPVT item: mammal,"1=correct, 0=incorrect"
ppvt,participants' summed score on the short vocabulary measure ,
color_ppvt_high,participants' summed score on the color word comprehension test for high nameability colors,
color_ppvt_low,participants' summed score on the color word comprehension test for low nameability colors,
